Turbine Number,x-coordinate,y-coordinate
Turbine 1,277046.74207786575,821664.2007322934
Turbine 2,277575.5309332954,821449.9102048745
Turbine 3,276363.1938132693,821022.9672209043
Turbine 4,276605.9909707419,821842.0
Turbine 5,278003.3039939428,820774.8164112181
Turbine 6,277050.1922068091,820837.5595002684
Turbine 7,276670.14261433686,820767.5723258926
Turbine 8,276131.4145857605,820202.7419102442
Turbine 9,278854.7923774302,820910.7102574717
Turbine 10,277929.4838551965,821301.2233833807
Turbine 11,277234.62855373614,820272.4686139128
Turbine 12,276552.54517951654,819856.1273861862
Turbine 13,275951.0574751061,819554.1121559269
Turbine 14,279442.2292606167,820665.1207636591
Turbine 15,278951.53941502125,820518.2844085426
Turbine 16,278532.41752779833,821046.0671116255
Turbine 17,277648.05000975047,819522.0419241509
Turbine 18,277173.6130258169,819401.8631708376
Turbine 19,276533.3695619553,819230.588037086
Turbine 20,275739.2392342505,818795.7177853023
Turbine 21,280428.0,820253.7319186887
Turbine 22,279529.94916029647,820203.1228769433
Turbine 23,278679.15507962933,819671.8662015346
Turbine 24,278157.4415544188,819630.0991036462
Turbine 25,277470.1232233647,818649.7506748154
Turbine 26,276491.253218724,818504.2080235317
Turbine 27,275820.34672039264,818107.4068225864
Turbine 28,275521.15376921534,818046.9200227981
Turbine 29,279866.8094732227,818922.4649438662
Turbine 30,279832.40363355627,820014.3660167087
Turbine 31,279110.635417511,819172.8208528374
Turbine 32,278423.4016270237,818766.4152600092
Turbine 33,277841.3272498054,818439.807159321
Turbine 34,276989.4597721993,818287.4356698482
Turbine 35,276387.97173537686,817789.2890289678
Turbine 36,275790.6602647173,817415.1512426817
Turbine 37,275238.84081388527,817077.5967841173
Turbine 38,279842.83723074436,819385.1317895516
Turbine 39,279192.3970828976,818551.7752434738
Turbine 40,278460.12579344696,818060.3866029781
Turbine 41,278004.7763947942,817810.1800185328
Turbine 42,277220.4326538976,817646.6557819676
Turbine 43,276474.06018391444,817167.5910093279
Turbine 44,275787.8839060644,816601.0549498854
Turbine 45,274975.99037344154,816130.8886000332
Turbine 46,279283.9222187593,817928.0726261385
Turbine 47,278835.477668294,817672.2091783049
Turbine 48,278145.609711885,817147.1455098806
Turbine 49,277468.98755868484,816897.2006713797
Turbine 50,277045.49123098975,816739.4721169497
Turbine 51,276543.89867491013,816502.4283543519
Turbine 52,275850.34157778625,816034.7723862022
Turbine 53,275005.04242038546,815641.9115482047
Turbine 54,279319.9894983522,817569.765893523
Turbine 55,278925.93289241754,816590.8148670784
Turbine 56,277765.1278927859,816184.2855826286
Turbine 57,277323.20419154334,816038.7549559841
Turbine 58,276667.22742325574,815754.7500843854
Turbine 59,275906.8690295051,815417.6377779745
Turbine 60,275090.77885395574,814965.1823770655
Turbine 61,274591.1664170288,814725.8059451048
Turbine 62,278574.26145755785,816457.5184617186
Turbine 63,278220.15943603136,816341.1280817498
Turbine 64,277723.3797314989,815318.2831658962
Turbine 65,276807.7264788322,815007.6577487483
Turbine 66,275928.7160472479,814760.8126300457
Turbine 67,275194.4563768799,814527.4350399763
Turbine 68,278485.50910130143,815558.02715712
Turbine 69,277865.4899537194,814829.8157398002
Turbine 70,276892.5732803801,814335.9167635207
Turbine 71,276378.0679846887,814125.501067151
Turbine 72,275976.02802080254,814263.6613804734
Turbine 73,278001.7310424214,814421.1938807426
Turbine 74,277343.0815468066,813794.16570078
Turbine 75,276966.7375909874,813923.3111003559
Turbine 76,277705.3451169767,813671.0
